"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
439,8,48,1,128,256,30,4,1048576
440,8,8,1,96,256,256,1,5242880
441,8,32,1,256,256,50,1,20971520
442,8,8,1,192,256,256,1,2097152
443,8,72,5,160,1024,256,1,10485760
444,8,8,1,96,1024,256,4,10485760
445,8,48,1,128,256,10,1,20971520
446,8,8,5,224,256,256,4,1048576
447,24,72,1,256,256,256,1,1048576
448,8,8,5,64,256,256,4,10485760
449,8,48,1,256,256,256,4,52428800
450,8,32,1,96,256,256,4,52428800
451,8,48,1,192,256,50,1,2097152
452,48,8,1,128,256,50,1,2097152
453,48,48,1,128,256,50,1,20971520
454,8,8,1,96,256,10,4,52428800
455,8,8,1,96,256,50,1,20971520
456,24,72,1,224,256,256,4,10485760
457,8,32,5,64,256,256,4,1048576
458,8,48,1,256,256,50,1,2097152
459,8,32,5,32,256,50,1,1048576
460,32,72,1,64,256,50,4,1048576
461,72,8,1,160,1024,256,1,20971520
462,8,32,1,32,256,50,1,20971520
463,8,48,1,64,256,10,1,20971520
464,32,8,1,32,256,256,1,1048576
465,8,48,1,192,256,10,1,5242880
466,8,72,1,192,256,10,1,5242880
467,8,48,1,224,256,50,1,5242880
468,72,32,1,64,256,50,1,20971520
469,12,24,5,96,1024,50,3,2097152
470,48,48,4,96,1024,10,2,10485760
471,8,48,1,96,256,50,1,2097152
472,12,32,4,128,256,30,1,20971520
473,8,20,1,128,256,50,3,52428800
474,12,48,1,160,256,50,2,2097152
475,12,24,5,192,1024,256,3,5242880
476,12,12,3,256,1024,10,2,2097152
477,48,20,4,32,1024,50,4,20971520
478,12,16,4,224,256,30,1,5242880
479,20,72,1,96,1024,256,2,52428800
480,20,12,2,32,256,256,1,5242880
481,12,72,4,96,256,256,1,20971520
482,24,48,5,64,256,256,3,20971520
483,72,48,3,96,1024,50,2,52428800
484,24,48,5,224,1024,256,3,10485760
485,20,48,2,96,1024,50,1,20971520
486,32,72,1,192,1024,256,3,5242880
487,72,72,5,96,256,256,3,20971520
488,32,12,1,160,256,50,1,20971520
489,72,48,2,224,1024,256,3,52428800
490,48,72,3,128,256,50,3,2097152
491,24,48,3,256,1024,50,3,52428800
492,48,24,4,224,256,256,3,20971520
493,48,48,3,192,256,50,3,5242880
494,72,48,2,96,256,50,2,52428800
495,48,12,4,64,1024,50,3,10485760
496,48,72,4,96,256,256,1,52428800
497,12,48,1,96,1024,50,3,20971520
498,12,48,4,96,256,256,1,2097152
499,48,12,4,96,1024,50,3,20971520
500,48,48,4,160,256,50,3,20971520
501,8,12,2,32,256,50,2,20971520
502,72,48,3,256,256,50,3,52428800
503,48,48,3,256,1024,256,3,10485760
504,72,32,3,256,1024,50,3,20971520
505,72,32,2,128,256,50,4,20971520
506,72,72,4,96,1024,256,4,10485760
507,32,24,3,96,1024,30,1,2097152
508,48,48,2,96,1024,50,1,5242880
509,72,32,1,96,1024,256,2,1048576
510,48,48,1,64,256,10,3,52428800
511,32,8,5,160,256,50,3,20971520
512,48,32,4,64,256,256,3,20971520
513,8,16,2,160,256,50,1,5242880
514,48,48,3,256,1024,256,4,2097152
515,48,32,5,96,256,50,3,52428800
516,20,48,2,160,1024,256,3,20971520
517,20,8,1,128,1024,50,4,20971520
518,8,24,2,96,1024,256,1,2097152
519,32,48,2,128,256,50,2,5242880
520,48,72,1,128,256,30,3,20971520
521,48,48,4,192,256,50,3,2097152
522,24,72,1,128,256,50,3,2097152
523,72,72,2,192,256,50,2,20971520
524,72,72,2,224,256,50,3,52428800
525,72,72,5,160,1024,50,2,5242880
526,72,24,5,256,1024,256,1,5242880
527,48,32,2,32,256,256,3,20971520
528,48,20,5,192,1024,256,4,20971520
529,48,32,4,64,1024,50,4,20971520
530,32,48,4,64,1024,30,2,20971520
531,72,32,4,128,1024,50,2,52428800
532,16,48,1,96,1024,256,4,20971520
533,12,48,1,192,256,256,2,52428800
534,24,48,5,224,256,30,4,10485760
535,48,24,2,192,1024,10,1,5242880
536,72,32,5,128,1024,50,2,20971520
537,72,72,4,64,256,30,1,20971520
538,48,72,3,160,1024,50,2,52428800
539,12,72,1,96,256,50,4,5242880
540,16,72,3,64,256,50,3,52428800
541,48,32,4,64,256,50,4,20971520
542,48,12,2,224,1024,50,3,10485760
543,16,48,3,192,256,256,2,2097152
544,48,48,3,160,1024,256,2,20971520
545,48,48,1,160,256,10,3,20971520
546,48,32,4,160,1024,50,3,10485760
547,72,48,1,32,256,50,2,10485760
548,72,16,4,128,1024,256,3,52428800
549,24,48,2,128,1024,30,2,1048576
550,48,24,4,64,1024,256,2,52428800
551,8,48,3,128,1024,30,3,20971520
552,48,32,5,160,256,50,3,20971520
553,48,48,4,96,1024,256,4,52428800
554,48,48,1,160,256,256,2,20971520
555,24,24,1,64,256,256,3,52428800
556,8,48,5,192,256,50,2,20971520
557,48,32,1,128,1024,10,3,52428800
558,48,32,2,96,1024,50,3,52428800
559,48,48,4,160,1024,256,3,2097152
560,48,16,2,224,256,50,2,20971520
561,24,20,3,128,1024,50,4,20971520
562,32,32,3,256,256,256,3,20971520
563,72,16,2,96,1024,256,4,5242880
564,32,48,2,64,256,256,2,5242880
565,12,48,4,64,256,50,2,52428800
566,48,48,4,128,1024,256,3,20971520
567,48,32,3,32,1024,256,2,10485760
568,20,48,2,64,256,50,3,10485760
569,48,48,2,96,1024,256,2,20971520
570,32,48,3,256,1024,256,1,52428800
571,32,32,3,96,1024,256,3,10485760
572,48,8,3,64,1024,256,3,52428800
573,20,48,3,96,1024,50,3,5242880
574,72,8,4,96,1024,256,3,52428800
575,32,72,5,96,1024,256,2,10485760
576,72,48,4,64,1024,50,3,20971520
577,20,32,1,128,256,256,2,20971520
578,72,20,4,192,256,256,3,10485760
579,48,72,3,224,256,256,3,10485760
580,8,72,1,224,1024,256,3,20971520
581,16,48,1,160,1024,30,3,20971520
582,48,48,4,128,1024,256,2,2097152
583,8,32,2,128,1024,256,3,52428800
584,12,72,1,160,1024,10,4,10485760
585,24,48,1,32,256,50,2,20971520
586,48,20,4,32,1024,50,3,52428800
587,72,48,4,96,256,50,2,52428800
588,48,48,2,64,256,50,2,20971520
589,72,72,3,224,256,50,1,5242880
590,32,72,2,128,1024,50,4,52428800
591,16,72,4,96,256,50,4,20971520
592,16,72,4,64,256,50,2,10485760
593,48,8,1,128,256,256,2,20971520
594,24,12,1,128,1024,30,2,52428800
595,48,72,5,192,256,256,3,52428800
596,16,24,2,64,256,50,3,20971520
597,32,72,3,96,256,50,3,52428800
598,12,48,3,128,1024,50,3,52428800
599,12,72,3,96,256,256,2,10485760
600,48,72,4,64,1024,30,2,52428800
601,32,48,2,96,1024,50,2,10485760
602,48,32,2,160,256,50,2,52428800
603,72,48,5,192,1024,256,4,52428800
604,16,72,2,128,1024,50,4,52428800
605,48,24,4,224,1024,256,3,20971520
606,32,48,5,64,256,256,4,20971520
607,16,32,3,224,256,256,4,10485760
608,48,24,4,96,1024,50,4,20971520
609,48,48,2,256,1024,256,3,52428800
610,72,72,4,128,256,256,1,20971520
611,48,48,3,192,256,50,3,10485760
612,24,48,1,96,256,50,4,20971520
613,20,72,2,224,256,256,3,52428800
614,12,72,4,32,1024,50,3,20971520
615,48,48,2,224,256,50,2,5242880
616,32,32,3,64,256,50,3,20971520
617,20,48,3,32,1024,256,3,52428800
618,24,20,3,160,1024,30,3,52428800
619,48,48,2,32,256,30,2,10485760
620,16,16,2,160,1024,50,2,20971520
621,48,24,2,128,1024,256,2,52428800
622,48,16,2,64,1024,50,3,5242880
623,24,24,1,64,256,50,4,20971520
624,48,72,3,160,256,50,3,20971520
625,48,48,2,128,1024,256,3,2097152
626,32,72,4,192,1024,256,2,20971520
627,8,16,3,32,256,256,1,20971520
628,32,32,4,128,256,50,4,52428800
629,32,24,3,160,256,50,4,2097152
630,32,20,2,192,256,30,4,20971520
631,72,24,3,64,256,256,4,52428800
632,32,48,3,160,1024,30,2,52428800
633,72,72,4,192,1024,50,3,52428800
634,72,72,3,128,1024,50,4,52428800
635,48,48,4,224,1024,30,4,52428800
636,20,20,3,192,256,50,2,5242880
637,12,48,2,128,1024,50,2,52428800
638,16,32,3,256,256,256,2,52428800
639,32,20,2,96,1024,256,3,10485760
640,12,20,4,192,1024,10,2,10485760
641,48,16,2,256,1024,50,4,5242880
642,48,72,2,160,256,256,3,10485760
643,48,32,3,96,256,256,3,20971520
644,48,48,2,192,1024,50,3,52428800
645,12,16,1,192,1024,50,4,20971520
646,20,12,1,128,1024,50,1,52428800
647,32,32,2,224,256,50,2,52428800
648,24,32,1,256,256,256,3,52428800
649,48,48,4,256,1024,50,2,20971520
650,32,20,3,32,1024,256,3,20971520
651,72,72,4,160,1024,50,2,5242880
652,24,32,2,64,1024,256,4,20971520
653,32,72,4,32,256,256,2,20971520
654,32,48,5,96,1024,50,2,20971520
655,32,32,2,224,1024,256,1,10485760
656,48,48,2,192,256,30,3,20971520
657,24,48,2,96,1024,50,1,10485760
658,24,48,3,64,256,50,2,2097152
659,48,20,2,192,1024,256,4,52428800
660,32,24,1,224,256,50,1,5242880
661,48,32,4,64,256,256,4,52428800
662,48,48,5,224,1024,50,2,52428800
663,20,72,2,224,256,50,1,52428800
664,8,48,4,96,256,50,3,20971520
665,48,48,2,256,1024,256,3,20971520
666,8,72,4,64,256,50,2,20971520
667,24,16,2,224,1024,50,3,10485760
668,48,48,1,224,1024,256,1,20971520
669,48,24,3,224,256,256,4,20971520
