"index","confidence","hypo_step","max_arm_length","num_threads"
1223,14,3,7,7
1224,14,3,7,8
1225,14,3,7,9
1226,14,3,7,10
1227,14,3,7,11
1228,14,3,7,12
1229,14,3,7,13
1230,14,3,7,14
1231,14,3,7,15
1232,14,3,7,16
1233,14,3,7,17
1234,14,3,7,18
1235,14,3,7,19
1236,14,3,7,20
1237,14,3,7,21
1238,14,3,7,22
1239,14,3,7,23
1240,14,3,7,24
1241,14,3,7,25
1242,14,3,7,26
1243,14,3,7,27
1244,14,3,7,28
1245,14,3,7,29
1246,14,3,7,30
1247,14,3,7,31
1248,14,3,7,32
1249,14,3,8,1
1250,14,3,8,2
1251,14,3,8,3
1252,14,3,8,4
1253,14,3,8,5
1254,14,3,8,6
1255,14,3,8,7
1256,14,3,8,8
1257,14,3,8,9
1258,14,3,8,10
1259,14,3,8,11
1260,14,3,8,12
1261,14,3,8,13
1262,14,3,8,14
1263,14,3,8,15
1264,14,3,8,16
1265,14,3,8,17
1266,14,3,8,18
1267,14,3,8,19
1268,14,3,8,20
1269,14,3,8,21
1270,14,3,8,22
1271,14,3,8,23
1272,14,3,8,24
1273,14,3,8,25
1274,14,3,8,26
1275,14,3,8,27
1276,14,3,8,28
1277,14,3,8,29
1278,14,3,8,30
1279,14,3,8,31
1280,14,3,8,32
1281,14,3,9,1
1282,14,3,9,2
1283,14,3,9,3
1284,14,3,9,4
1285,14,3,9,5
1286,14,3,9,6
1287,14,3,9,7
1288,14,3,9,8
1289,14,3,9,9
1290,14,3,9,10
1291,14,3,9,11
1292,14,3,9,12
1293,14,3,9,13
1294,14,3,9,14
1295,14,3,9,15
1296,14,3,9,16
1297,14,3,9,17
1298,14,3,9,18
1299,14,3,9,19
1300,14,3,9,20
1301,14,3,9,21
1302,14,3,9,22
1303,14,3,9,23
1304,14,3,9,24
1305,14,3,9,25
1306,14,3,9,26
1307,14,3,9,27
1308,14,3,9,28
1309,14,3,9,29
1310,14,3,9,30
1311,14,3,9,31
1312,14,3,9,32
1313,14,3,10,1
1314,14,3,10,2
1315,14,3,10,3
1316,14,3,10,4
1317,14,3,10,5
1318,14,3,10,6
1319,14,3,10,7
1320,14,3,10,8
1321,14,3,10,9
1322,14,3,10,10
1323,14,3,10,11
1324,14,3,10,12
1325,14,3,10,13
1326,14,3,10,14
1327,14,3,10,15
1328,14,3,10,16
1329,14,3,10,17
1330,14,3,10,18
1331,14,3,10,19
1332,14,3,10,20
1333,14,3,10,21
1334,14,3,10,22
1335,14,3,10,23
1336,14,3,10,24
1337,14,3,10,25
1338,14,3,10,26
1339,14,3,10,27
1340,14,3,10,28
1341,14,3,10,29
1342,14,3,10,30
1343,14,3,10,31
1344,14,3,10,32
1345,14,3,11,1
1346,14,3,11,2
1347,14,3,11,3
1348,14,3,11,4
1349,14,3,11,5
1350,14,3,11,6
1351,14,3,11,7
